First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Virgil,Zwicker,1982,3.34,48%,4.87,39%,1.31,30%,50%,0
Allan,Zuniga,1992,3.93,52%,1.8,61%,0,0%,57%,1
George,Zuniga,,7.64,38%,5.45,37%,0,0%,100%,0
Alex,Zuniga,,0,0%,0,0%,0,0%,0%,0
Dave,Zitanick,1980,0,0%,0,0%,0,0%,0%,0
Igor,Zinoviev,,0,0%,0,0%,0,0%,0%,0
Cat,Zingano,1982,2.57,61%,1.63,47%,2.77,65%,42%,0.8
Errol,Zimmerman,1986,2.95,42%,0,0%,0,0%,0%,0
James,Zikic,1977,1.47,35%,1.6,44%,0.5,25%,74%,0.5
Mike,Zichelle,,0.87,35%,0.87,40%,0,0%,0%,2
Fares,Ziam,1997,2.82,47%,2.01,65%,0.97,23%,75%,0
Zhalgas,Zhumagulov,1988,5.24,43%,5.86,52%,1.3,19%,75%,0.2
Yao,Zhikui,1991,1.44,21%,2.82,48%,0.66,16%,58%,0
Dariya,Zheleznykova,1996,0,0%,0,0%,0,0%,0%,0
Zhang,Mingyang,1998,8.86,56%,5.57,59%,0,0%,0%,0
Zhang,Weili,1989,5.94,51%,3.44,53%,2.29,42%,66%,0.4
Zhang,Lipeng,1990,1.28,48%,1.88,53%,1.75,30%,69%,0.8
Zhang,Tiequan,1978,1.23,36%,2.14,51%,1.95,58%,75%,3.4
Carlos,Zevallos,,4.36,65%,2.28,68%,0,0%,100%,0
Roman,Zentsov,1973,1.18,36%,0.53,70%,1.6,100%,33%,3.2
Rickson,Zenidim,1999,1.67,32%,4.07,33%,0,0%,0%,0
Craig,Zellner,1976,0.61,9%,4.65,61%,0,0%,0%,0
Daniel,Zellhuber,1999,5.26,39%,4.79,53%,0.28,33%,94%,0.3
Joao,Zeferino,1986,0.83,36%,2.6,48%,0.5,5%,50%,1
Manolo,Zecchini,1996,2.34,21%,6.75,46%,0,0%,0%,0
David,Zawada,1990,3.84,41%,4.54,55%,0.97,33%,57%,1.7
Marius,Zaromskis,1980,5.02,34%,5.93,50%,0.73,42%,73%,0
Roger,Zapata,1986,2.6,51%,2.13,36%,0,0%,81%,1.4
Zach,Zane,1989,0.87,56%,6.67,20%,0,0%,26%,0
Elizeu,Santos,1986,4.52,42%,3.33,57%,0.43,13%,68%,0.4
