Fighter_first,Fighter_last,Fighter_height,Fighter_weight,Fighter_reach,Fighter_wins,Fighter_losses,Fighter_draws,Fighter_nickname,Fighter_stance
Tom,Aaron,--,155 lbs.,--,5,3,0,,
Danny,Abbadi,"5' 11""",155 lbs.,--,4,6,0,The Assassin,Orthodox
Nariman,Abbasov,"5' 8""",155 lbs.,"66.0""",28,4,0,Bayraktar,Orthodox
David,Abbott,"6' 0""",265 lbs.,--,10,15,0,Tank,Switch
Hamdy,Abdelwahab,"6' 2""",264 lbs.,"72.0""",5,0,0,The Hammer,Southpaw
Shamil,Abdurakhimov,"6' 3""",235 lbs.,"76.0""",20,8,0,Abrek,Orthodox
Hiroyuki,Abe,"5' 6""",145 lbs.,--,8,15,3,Abe Ani,Orthodox
Daichi,Abe,"5' 11""",170 lbs.,"71.0""",6,2,0,,Orthodox
Papy,Abedi,"5' 11""",185 lbs.,--,10,4,0,Makambo,Southpaw
Ricardo,Abreu,"5' 11""",185 lbs.,--,5,1,0,Demente,Orthodox
Klidson,Abreu,"6' 0""",205 lbs.,"74.0""",15,4,0,White Bear,Orthodox
Cyborg,Abreu,--,--,--,0,0,0,,
Daniel,Acacio,"5' 8""",180 lbs.,--,30,18,0,,Orthodox
John,Adajar,"5' 9""",170 lbs.,"75.0""",6,2,0,The Outlaw,Orthodox
Scott,Adams,"6' 0""",225 lbs.,--,8,1,0,,Southpaw
Juan,Adams,"6' 5""",265 lbs.,"80.0""",5,3,0,The Kraken,Orthodox
Anthony,Adams,"6' 1""",185 lbs.,"76.0""",8,2,0,Sugafoot,Orthodox
Zarrukh,Adashev,"5' 5""",125 lbs.,"65.0""",4,4,0,The Lion,Southpaw
Israel,Adesanya,"6' 4""",185 lbs.,"80.0""",24,3,0,The Last Stylebender,Switch
Sam,Adkins,"6' 3""",225 lbs.,--,7,20,2,The Experience,Orthodox
Nick,Agallar,"5' 8""",155 lbs.,--,24,6,0,,Orthodox
Mariya,Agapova,"5' 6""",125 lbs.,"68.0""",10,4,0,Demonslayer,Southpaw
Marcelo,Aguiar,"5' 10""",170 lbs.,--,2,3,1,,Orthodox
Fabio,Aguiar,"6' 0""",185 lbs.,--,17,1,0,,
Edwin,Aguilar,"5' 10""",185 lbs.,--,26,19,0,Tigre,
Jessica,Aguilar,"5' 3""",115 lbs.,"63.0""",20,8,0,Jag,Orthodox
Kevin,Aguilar,"5' 7""",155 lbs.,"73.0""",17,5,0,Angel of Death,Orthodox
Jesus,Aguilar,"5' 4""",125 lbs.,"62.0""",9,2,0,,Orthodox
Christian,Aguilera,"5' 9""",170 lbs.,"72.0""",14,8,0,The Beast,Switch
Nick,Aguirre,"5' 9""",135 lbs.,"74.0""",7,1,0,Slick,Southpaw
Mike,Aina,"5' 9""",155 lbs.,--,14,6,1,Iron,Orthodox
Ashiek,Ajim,"5' 8""",135 lbs.,"71.0""",6,2,0,Peak Physique,Switch
Hitomi,Akano,"5' 4""",135 lbs.,--,18,10,0,Girlfight Monster,Southpaw
Omari,Akhmedov,"6' 0""",185 lbs.,"73.0""",21,6,1,Wolverine,Orthodox
Yoshihiro,Akiyama,"5' 10""",170 lbs.,"75.0""",14,6,0,,Orthodox
