Event_name,Event_Location,Event_Date,Event_url,Event_Fighter_name,Event_Fighter_Outcome,Event_Fighter_KD,Event_Fighter_STR,Event_Fighter_TD,Event_Fighter_SUB,Event_Fighter_Weight_Class,Event_Fighter_Round,Event_Fighter_Method,Event_Fighter_Method_note,Event_Fighter_Time
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Alex Pereira,win,1,38,0,1,Light Heavyweight,2,KO/TKO,Elbows,4:08
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Jiri Prochazka,,0,30,1,0,Light Heavyweight,2,KO/TKO,Elbows,4:08
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Tom Aspinall,win,1,10,0,0,Heavyweight,1,KO/TKO,Punch,1:09
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Sergei Pavlovich,,0,1,0,0,Heavyweight,1,KO/TKO,Punch,1:09
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Jessica Andrade,win,4,53,0,0,Women's Strawweight,2,KO/TKO,Punch,3:15
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Mackenzie Dern,,0,49,0,0,Women's Strawweight,2,KO/TKO,Punch,3:15
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Benoit Saint Denis,win,1,6,0,0,Lightweight,1,KO/TKO,Kick,1:31
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Matt Frevola,,0,5,2,0,Lightweight,1,KO/TKO,Kick,1:31
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Diego Lopes,win,1,13,0,0,Featherweight,1,KO/TKO,Punches,1:30
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Pat Sabatini,,0,7,0,0,Featherweight,1,KO/TKO,Punches,1:30
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Steve Erceg,win,0,74,1,1,Flyweight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Alessandro Costa,,0,54,1,0,Flyweight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Loopy Godinez,win,0,98,0,0,Women's Strawweight,3,S-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Tabatha Ricci,,0,84,0,0,Women's Strawweight,3,S-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Mateusz Rebecki,win,0,10,2,1,Lightweight,1,SUB,Armbar,3:08
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Roosevelt Roberts,,0,2,0,0,Lightweight,1,SUB,Armbar,3:08
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Nazim Sadykhov,draw,1,91,4,0,Lightweight,3,M-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Viacheslav Borshchev,draw,0,143,0,0,Lightweight,3,M-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Jared Gordon,win,1,36,0,0,Lightweight,1,KO/TKO,Punch,4:42
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Mark Madsen,,0,35,0,0,Lightweight,1,KO/TKO,Punch,4:42
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,John Castaneda,win,0,111,3,0,Catch Weight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Kyung Ho Kang,,0,88,0,0,Catch Weight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Joshua Van,win,0,156,2,0,Flyweight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Kevin Borjas,,0,75,0,0,Flyweight,3,U-DEC,,5:00
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Jamall Emmers,win,1,14,0,0,Featherweight,1,KO/TKO,Punch,0:49
UFC 295: Prochazka vs. Pereira,"New York City, New York, USA",11-Nov-23,http://ufcstats.com/event-details/5a558ba1ff5e9121,Dennis Buzukja,,0,3,0,0,Featherweight,1,KO/TKO,Punch,0:49
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Jailton Almeida,win,0,38,6,4,Heavyweight,5,U-DEC,,5:00
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Derrick Lewis,,0,20,0,0,Heavyweight,5,U-DEC,,5:00
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Nicolas Dalby,win,1,53,0,0,Welterweight,2,KO/TKO,Knees,4:33
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Gabriel Bonfim,,0,39,3,1,Welterweight,2,KO/TKO,Knees,4:33
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Rodrigo Nascimento,win,0,70,0,0,Heavyweight,3,U-DEC,,5:00
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Don'Tale Mayes,,0,79,0,0,Heavyweight,3,U-DEC,,5:00
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Caio Borralho,win,1,51,0,0,Middleweight,3,U-DEC,,5:00
UFC Fight Night: Almeida vs. Lewis,"Sao Paulo, Sao Paulo, Brazil",4-Nov-23,http://ufcstats.com/event-details/7c4ec656d8fcb867,Abus Magomedov,,0,38,0,0,Middleweight,3,U-DEC,,5:00
